run_id,dataset,slot_timestamp,slot_start_iso,pre_status,pre_bucket,pre_key,pre_size_bytes,pre_line_count,pre_reason,slot_since_id,slot_until_id,post_status,post_bucket,post_key,post_size_bytes,post_line_count,post_note_count
jp_202508010000_202510312350,jp,2025-08-01_15-30,2025-08-01T15:30:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/15/2025-08-01_15-30.jsonl,38219846,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_19-10,2025-08-01T19:10:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/19/2025-08-01_19-10.jsonl,11771680,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-02_01-20,2025-08-02T01:20:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/02/01/2025-08-02_01-20.jsonl,29599946,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-02_03-00,2025-08-02T03:00:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/02/03/2025-08-02_03-00.jsonl,41241819,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-02_05-10,2025-08-02T05:10:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/02/05/2025-08-02_05-10.jsonl,5658572,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-02_08-40,2025-08-02T08:40:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/02/08/2025-08-02_08-40.jsonl,16943731,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-02_14-40,2025-08-02T14:40:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/02/14/2025-08-02_14-40.jsonl,10426244,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-02_15-30,2025-08-02T15:30:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/02/15/2025-08-02_15-30.jsonl,5915104,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-02_17-00,2025-08-02T17:00:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/02/17/2025-08-02_17-00.jsonl,10617640,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-02_18-00,2025-08-02T18:00:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/02/18/2025-08-02_18-00.jsonl,37278678,10000,too_many_lines,,,pending,,,,,
